utc_timestamp,GR_load_actual_entsoe_transparency,GR_load_forecast_entsoe_transparency,GR_solar_generation_actual,GR_wind_onshore_generation_actual
1/1/2018-0:00,54567300,54470000,0,1420000
1/1/2018-1:00,51409000,50870000,0,1550000
1/1/2018-2:00,50433800,49580000,0,1490000
1/1/2018-3:00,47678200,46270000,0,1470000
1/1/2018-4:00,45096300,43860000,0,1440000
1/1/2018-5:00,44452600,42850000,0,1790000
1/1/2018-6:00,45160600,43060000,0,2440000
1/1/2018-7:00,45721100,43830000,10000,2840000
1/1/2018-8:00,47278000,46800000,1880000,3670000
1/1/2018-9:00,51335200,52630000,7380000,4390000
1/1/2018-10:00,55507400,58820000,12140000,4390000
1/1/2018-11:00,58988400,62500000,14360000,4660000
1/1/2018-12:00,59448400,62830000,14700000,4730000
1/1/2018-13:00,56700900,59220000,13580000,5010000
1/1/2018-14:00,51233400,53420000,10720000,5840000
1/1/2018-15:00,51214800,53800000,5870000,6540000
1/1/2018-16:00,51729400,54860000,1580000,6850000
1/1/2018-17:00,55022800,57870000,20000,7280000
1/1/2018-18:00,61044800,62700000,0,7110000
1/1/2018-19:00,61993600,63930000,0,7320000
1/1/2018-20:00,61601700,63530000,0,7420000
1/1/2018-21:00,60130500,61720000,0,7400000
1/1/2018-22:00,56930600,59000000,0,8160000
1/1/2018-23:00,53906200,56500000,0,8140000
1/2/2018-0:00,49394600,51470000,0,8190000
1/2/2018-1:00,45131200,47260000,0,7910000
1/2/2018-2:00,44468900,46870000,0,8820000
1/2/2018-3:00,42450000,44970000,0,9930000
1/2/2018-4:00,40942900,43550000,0,10500000
1/2/2018-5:00,41569400,44260000,0,9860000
1/2/2018-6:00,44761600,47440000,0,8950000
1/2/2018-7:00,48775600,51980000,0,8570000
1/2/2018-8:00,53349200,55480000,1180000,8620000
1/2/2018-9:00,58896800,59130000,5540000,8300000
1/2/2018-10:00,61145200,61010000,9830000,8230000
1/2/2018-11:00,62789100,61750000,12540000,7990000
1/2/2018-12:00,63571800,62390000,13410000,8730000
1/2/2018-13:00,63329800,62330000,12010000,8970000
1/2/2018-14:00,61369500,60730000,9390000,8590000
1/2/2018-15:00,62121400,61860000,4880000,7750000
1/2/2018-16:00,61693100,62750000,1160000,7960000
1/2/2018-17:00,64354200,66540000,10000,7290000
1/2/2018-18:00,69209500,71010000,0,6260000
1/2/2018-19:00,70172300,70920000,0,5470000
1/2/2018-20:00,69151400,70020000,0,5140000
1/2/2018-21:00,66888900,66810000,0,5420000
1/2/2018-22:00,62052500,62590000,0,5120000
1/2/2018-23:00,58939100,58590000,0,4450000
1/3/2018-0:00,54190600,53410000,0,3810000
1/3/2018-1:00,49007500,48800000,0,3750000
1/3/2018-2:00,48415800,48390000,0,3820000
1/3/2018-3:00,46592500,46600000,0,3710000
1/3/2018-4:00,44753300,45480000,0,4680000
1/3/2018-5:00,44758900,46180000,0,6110000
1/3/2018-6:00,48058000,50680000,0,7170000
1/3/2018-7:00,53542300,56410000,0,7960000
1/3/2018-8:00,59685700,62050000,810000,8210000
1/3/2018-9:00,65750400,65810000,4500000,8060000
1/3/2018-10:00,67740300,66630000,9150000,7510000
1/3/2018-11:00,68082100,67390000,11830000,7390000
1/3/2018-12:00,68268200,67790000,13680000,6970000
1/3/2018-13:00,67808200,67560000,13750000,5820000
1/3/2018-14:00,64985700,66130000,11710000,4480000
1/3/2018-15:00,65646900,67760000,7460000,3490000
1/3/2018-16:00,65067500,68990000,2280000,2940000
1/3/2018-17:00,68540300,72020000,50000,2890000
1/3/2018-18:00,74235300,77430000,0,2710000
1/3/2018-19:00,74470800,77440000,0,3100000
1/3/2018-20:00,73676400,75950000,0,4200000
1/3/2018-21:00,69807100,71240000,0,5090000
1/3/2018-22:00,64305500,65720000,0,5810000
1/3/2018-23:00,60444900,61110000,0,6780000
1/4/2018-0:00,54377500,54390000,0,8100000
1/4/2018-1:00,49079100,49080000,0,8570000
1/4/2018-2:00,47888000,48390000,0,7720000
1/4/2018-3:00,46601100,46380000,0,6590000
1/4/2018-4:00,45738400,45370000,0,6890000
1/4/2018-5:00,46635000,45870000,0,6460000
1/4/2018-6:00,50879400,49860000,0,4410000
1/4/2018-7:00,56404600,55860000,0,3120000
1/4/2018-8:00,63273700,61440000,160000,4690000
1/4/2018-9:00,70889800,66770000,1610000,4430000
1/4/2018-10:00,74597100,69150000,3280000,4640000
1/4/2018-11:00,76251300,71170000,4780000,6590000
1/4/2018-12:00,77413300,72130000,6180000,9370000
1/4/2018-13:00,76656800,72600000,6770000,11250000
1/4/2018-14:00,73158100,70670000,6680000,12100000
1/4/2018-15:00,73775700,71410000,5220000,12290000
1/4/2018-16:00,72051000,71190000,1790000,12440000
1/4/2018-17:00,74242500,73480000,40000,12430000
1/4/2018-18:00,78683000,78400000,0,12800000
1/4/2018-19:00,78842500,78410000,0,12550000
1/4/2018-20:00,77097500,76710000,0,12130000
1/4/2018-21:00,72609700,71900000,0,11450000
1/4/2018-22:00,66727600,66390000,0,10870000
1/4/2018-23:00,63236100,61890000,0,10730000
1/5/2018-0:00,57363100,55560000,0,9990000
1/5/2018-1:00,52459900,50550000,0,8680000
1/5/2018-2:00,51746100,49860000,0,6900000
1/5/2018-3:00,50157500,48360000,0,5600000
1/5/2018-4:00,48922200,47360000,0,4000000
1/5/2018-5:00,49569000,48050000,0,3590000
1/5/2018-6:00,53742300,51640000,0,3280000
1/5/2018-7:00,59962100,56720000,10000,3130000
1/5/2018-8:00,65676800,62980000,1700000,2660000
1/5/2018-9:00,70457700,68800000,7010000,2300000
1/5/2018-10:00,71276500,69700000,11780000,1730000
1/5/2018-11:00,70963100,69520000,13840000,1540000
1/5/2018-12:00,69903000,69710000,13990000,1750000
1/5/2018-13:00,68697000,69370000,13190000,2040000
1/5/2018-14:00,66841700,67470000,11060000,2140000
1/5/2018-15:00,67835600,69020000,7140000,2060000
1/5/2018-16:00,67547100,69370000,2310000,1810000
1/5/2018-17:00,71628500,71470000,60000,1630000
1/5/2018-18:00,78362100,77180000,0,1290000
1/5/2018-19:00,78802700,77400000,0,960000
1/5/2018-20:00,77449200,76400000,0,530000
1/5/2018-21:00,73607000,71590000,0,510000
1/5/2018-22:00,67465000,66170000,0,660000
1/5/2018-23:00,64190800,61880000,0,630000
1/6/2018-0:00,58227000,55660000,0,620000
1/6/2018-1:00,52420900,50760000,0,450000
1/6/2018-2:00,51704500,50070000,0,330000
1/6/2018-3:00,49685100,47960000,0,400000
1/6/2018-4:00,48076900,46260000,0,730000
1/6/2018-5:00,48117100,45850000,0,820000
1/6/2018-6:00,49087300,46440000,0,880000
1/6/2018-7:00,50557100,46630000,10000,1300000
1/6/2018-8:00,53127400,49320000,1720000,1540000
1/6/2018-9:00,56029200,52770000,6810000,2040000
1/6/2018-10:00,57999800,56060000,11060000,2270000
1/6/2018-11:00,61218300,59290000,13250000,2560000
1/6/2018-12:00,63287700,61470000,13890000,2670000
1/6/2018-13:00,62682200,60350000,13320000,2810000
1/6/2018-14:00,58728200,55320000,11430000,2370000
1/6/2018-15:00,58860700,55850000,7620000,2130000
1/6/2018-16:00,58884200,56240000,2410000,2290000
1/6/2018-17:00,62258700,58480000,60000,2560000
1/6/2018-18:00,68825400,65400000,0,2560000
1/6/2018-19:00,69819300,66310000,0,2930000
1/6/2018-20:00,68732400,65610000,0,3200000
1/6/2018-21:00,66007700,62700000,0,3690000
1/6/2018-22:00,61808600,58990000,0,3740000
1/6/2018-23:00,58719800,56890000,0,3490000
1/7/2018-0:00,54400700,54820000,0,3590000
1/7/2018-1:00,50018600,50120000,0,3910000
