,date,likes,dislikes,followers,price
0,2020-01-01,260,355,9459,73.44176934941271
1,2020-01-02,121,293,2765,143.47539077891577
2,2020-01-03,714,106,986,120.56363120971358
3,2020-01-04,74,78,3956,122.01696954991658
4,2020-01-05,758,370,1923,24.01166095667766
5,2020-01-06,924,209,8791,97.31841899189489
6,2020-01-07,416,129,8687,92.87832727695103
7,2020-01-08,608,199,8890,40.66414392083624
8,2020-01-09,321,47,7038,175.58513624700922
9,2020-01-10,868,91,4204,88.9508019464053
10,2020-01-11,348,224,5784,17.336985497142642
11,2020-01-12,487,300,6803,137.85973712239087
12,2020-01-13,394,205,1275,152.06144256920246
13,2020-01-14,46,263,2,13.549475714375614
14,2020-01-15,838,128,3128,194.06881188557134
15,2020-01-16,976,174,7011,38.254010389920936
16,2020-01-17,918,298,3238,183.57025757809174
17,2020-01-18,22,39,6405,159.60805340497333
18,2020-01-19,932,336,270,83.34447524410041
19,2020-01-20,47,388,4885,88.41604741056292
20,2020-01-21,241,228,3114,176.2449873810589
21,2020-01-22,672,199,355,44.13592574723286
22,2020-01-23,813,173,7771,172.83564615436106
23,2020-01-24,887,207,5479,183.99964398878177
24,2020-01-25,166,390,4089,11.857848041670094
25,2020-01-26,538,69,1720,74.71204504268141
26,2020-01-27,579,47,8430,149.3358768245098
27,2020-01-28,769,290,9421,71.23453870971004
28,2020-01-29,588,217,2062,40.031922127171725
29,2020-01-30,964,163,9751,76.77877656470274
30,2020-01-31,155,303,8312,128.02218101998903
31,2020-02-01,828,70,49,146.42680540275404
32,2020-02-02,591,369,3902,146.25632243658308
33,2020-02-03,118,95,4990,126.80398574274061
34,2020-02-04,656,158,7262,18.482107787122317
35,2020-02-05,797,232,916,178.3634690971908
36,2020-02-06,497,269,2461,151.48669614845633
37,2020-02-07,376,381,4309,146.44234204873646
38,2020-02-08,338,196,1831,36.45395388680106
39,2020-02-09,770,203,5306,92.68957849620783
40,2020-02-10,681,277,9208,101.94583758160631
41,2020-02-11,846,178,1439,56.9024782749233
42,2020-02-12,615,107,3705,167.13918332352222
43,2020-02-13,797,353,3796,49.66357740042302
44,2020-02-14,842,63,4699,43.786159827616736
45,2020-02-15,778,287,9279,151.78786910238975
46,2020-02-16,261,67,5521,92.00540277193747
47,2020-02-17,805,287,6453,153.36858312113955
48,2020-02-18,356,315,691,170.31795412804425
49,2020-02-19,392,166,2100,108.25587961203486
50,2020-02-20,53,341,5822,110.05895765942084
51,2020-02-21,531,385,9042,118.20077314871895
52,2020-02-22,690,315,9347,121.85282329465753
53,2020-02-23,591,66,4655,153.48063778001733
54,2020-02-24,465,248,8763,75.01649568399318
55,2020-02-25,666,32,1467,93.81034262057639
56,2020-02-26,396,275,7517,170.45216337380657
57,2020-02-27,497,211,9722,142.69309719133224
58,2020-02-28,471,374,477,56.562440660679215
59,2020-02-29,14,175,5752,25.45512150885667
60,2020-03-01,277,196,2589,9.50600279931031
61,2020-03-02,504,341,7439,41.805580941282884
62,2020-03-03,582,62,7031,107.65330830906908
63,2020-03-04,800,199,7161,29.164953027972086
64,2020-03-05,447,317,1555,161.39276872787667
65,2020-03-06,838,216,1316,179.58335296693824
66,2020-03-07,33,157,4808,104.22267066932808
67,2020-03-08,623,83,9287,150.7942752594704
68,2020-03-09,459,199,3380,176.00273248283605
69,2020-03-10,111,264,9937,58.688442712929366
70,2020-03-11,911,333,4089,88.75589043325786
71,2020-03-12,965,7,6686,104.68591721574545
72,2020-03-13,653,30,4171,25.267449533003994
73,2020-03-14,706,162,7535,100.8935628997363
74,2020-03-15,593,130,2129,54.887416038321724
75,2020-03-16,409,80,6223,138.6037938414799
76,2020-03-17,421,168,149,160.5774802688748
77,2020-03-18,13,262,4204,98.44434901882175
78,2020-03-19,262,366,1025,170.4744771867312
79,2020-03-20,270,326,9805,67.35987028187043
80,2020-03-21,265,272,8806,12.568064727448448
81,2020-03-22,708,85,6755,92.92266472877625
82,2020-03-23,76,165,6776,92.42281362297345
83,2020-03-24,281,80,1526,152.1125729026947
84,2020-03-25,562,391,1644,89.20160450586782
85,2020-03-26,630,247,7793,101.59824410346539
86,2020-03-27,366,276,7270,133.07172683176367
87,2020-03-28,226,204,5591,132.2101153665755
88,2020-03-29,732,153,9818,151.79076374649406
89,2020-03-30,901,364,7514,151.37593946122888
90,2020-03-31,174,97,7442,42.30669491402552
91,2020-04-01,69,93,2289,87.41786250286059
92,2020-04-02,742,323,2656,107.47967395231359
93,2020-04-03,396,373,1230,127.47936665001876
94,2020-04-04,986,233,5027,190.16006910971143
95,2020-04-05,311,369,8654,193.39476386900978
96,2020-04-06,809,129,3280,37.291916211808406
97,2020-04-07,352,193,2722,147.9847756373154
98,2020-04-08,862,30,8820,76.63296368642722
99,2020-04-09,758,298,8799,1.7836581768340798
100,2020-04-10,247,30,8407,15.869822063387895
101,2020-04-11,552,203,3075,144.43066354875953
102,2020-04-12,25,240,1628,174.94792712783226
103,2020-04-13,432,309,6593,29.255993861848584
104,2020-04-14,818,194,9868,191.36344468803264
105,2020-04-15,905,208,324,86.41936276311274
106,2020-04-16,635,107,9343,131.19824536976452
107,2020-04-17,500,50,8467,118.03141833503179
108,2020-04-18,264,154,2165,10.271007182029269
109,2020-04-19,181,158,1721,153.5272420916323
110,2020-04-20,286,228,6113,18.39698628550415
111,2020-04-21,638,45,4457,70.80046811798128
112,2020-04-22,414,59,7214,37.011762473608755
113,2020-04-23,280,208,2695,182.6514608966051
114,2020-04-24,961,93,362,31.008776772063595
115,2020-04-25,767,392,7457,113.95780062712187
116,2020-04-26,199,296,344,168.34607704355
117,2020-04-27,956,116,8226,85.63400511031318
118,2020-04-28,403,198,1136,7.9499385824141955
119,2020-04-29,747,156,7130,116.30958711087689
120,2020-04-30,652,176,7232,165.4999530918056
